Date,Channel,Duration,hour,min,sec
2021-02-15,Meat,1.400,,,
2021-02-17,Akina,1.619,,,
2021-02-22,FFF,2.452,,,
2021-02-22,Snack,1.417,,,
2021-02-23,FFF,3.485,,,
2021-02-23,Uninal,1.433,,,
2021-02-24,Akina,2.003,,,
2021-02-28,Akina,1.594,,,
2021-03-01,FFF,2.102,,,
2021-03-03,Akina,1.767,,,
2021-03-07,Uninal,1.450,,,
2021-03-08,FFF,3.161,,,
2021-03-08,Akina,1.206,,,
2021-03-11,Akina,1.556,,,
2021-03-15,FFF,3.864,,,
2021-03-16,Snack,1.367,,,
2021-03-16,Akina,0.939,,,
2021-03-17,Akina,1.777,,,
2021-03-22,FFF,3.388,,,
2021-03-23,Akina,2.696,,,
2021-03-24,Akina,1.942,,,
2021-03-29,FFF,2.182,,,
2021-03-29,Meat,1.333,,,
2021-03-30,Uninal,1.517,,,
2021-03-31,Akina,1.856,,,
2021-04-01,Uninal,4.633,,,
2021-04-06,Daraland,0.700,0,42,
2021-04-07,Akina,1.765,,,
2021-04-07,Akina,1.210,,,
2021-04-10,FFF,2.723,,,
2021-04-12,FFF,1.841,,,
2021-04-13,Daraland,0.700,,42,
2021-04-14,Akina,1.814,,,
2021-04-17,FFF,10.941,,,
2021-04-17,Uninal,1.533,,,
2021-04-19,FFF,1.499,,,
2021-04-19,Meat,1.267,,,
2021-04-20,Daraland,0.800,,48,
2021-04-21,Akina,1.803,,,
2021-04-26,FFF,1.905,,,
2021-04-27,Daraland,0.650,,39,
2021-04-27,Snack,1.600,,,
2021-04-28,Akina,2.011,,,
2021-04-30,Uninal,1.667,,,
2021-05-03,FFF,4.061,,,
2021-05-04,Daraland,0.667,,40,
2021-05-07,Akina,1.895,,,
2021-05-10,FFF,8.794,,,
2021-05-11,Daraland,0.700,,42,
2021-05-11,FFF,7.264,,,
2021-05-11,Akina,1.942,,,
2021-05-15,Uninal,1.383,,,
2021-05-17,FFF,9.169,,,
2021-05-17,Meat,1.617,,,
2021-05-18,Daraland,0.667,,40,
2021-05-19,Akina,1.226,,,
2021-05-19,Akina,1.653,,,
2021-05-23,Uninal,1.667,,,
2021-05-24,FFF,6.508,,,
2021-05-25,Daraland,0.917,,55,
2021-05-25,FFF,3.613,3,36,46
2021-05-26,Snack,1.300,1,18,
2021-05-26,Akina,1.910,,,
2021-05-31,FFF,2.277,2,16,36
2021-05-31,Meat,0.667,0,40,
2021-06-01,Daraland,0.667,,40,
2021-06-02,Akina,1.957,,,
2021-06-05,Uninal,1.633,1,38,
2021-06-07,FFF,5.540,3,55,17
2021-06-08,Daraland,0.717,,43,
2021-06-08,Akina,3.499,,,
2021-06-09,Akina,1.843,,,
2021-06-14,FFF,3.408,3,24,28
2021-06-14,Meat,1.683,1,41,
2021-06-15,Daraland,0.633,,38,
2021-06-15,Akina,1.003,,,
2021-06-16,Akina,2.219,,,
2021-06-20,Uninal,1.883,1,53,
2021-06-21,FFF,1.909,1,54,32
2021-06-22,Daraland,0.933,,56,
2021-06-24,Pon,1.300,1,18,
2021-06-24,Akina,2.001,,,
2021-06-25,Snack,1.717,1,43,
2021-06-25,Akina,1.659,,,
2021-06-28,FFF,3.438,3,26,15
2021-06-28,Meat,0.633,0,38,
2021-06-29,Daraland,0.633,,38,
2021-06-30,Akina,1.583,,,
2021-07-03,Daraland,1.583,1,35,
2021-07-05,FFF,3.214,3,12,50
2021-07-06,Daraland,0.733,,44,
2021-07-08,Uninal,1.467,1,28,
2021-07-08,Akina,2.441,,,
2021-07-10,Akina,3.876,,,
2021-07-12,FFF,1.681,1,40,50
2021-07-12,Meat,1.583,1,35,
2021-07-13,Daraland,0.617,,37,
2021-07-14,Akina,1.677,,,
2021-07-19,FFF,2.254,2,15,14
2021-07-19,Snack,1.667,1,40,
2021-07-20,Daraland,0.667,,40,
2021-07-20,Akina,1.951,,,
2021-07-24,Uninal,1.767,1,46,
2021-07-26,FFF,3.016,3,0,57
2021-07-27,Daraland,0.667,,40,
2021-07-28,Akina,2.108,,,
2021-07-29,Pon,1.400,1,24,
2021-08-02,FFF,2.081,2,4,52
2021-08-03,Daraland,0.750,,45,
2021-08-04,Akina,1.599,,,
2021-08-04,Akina,1.489,,,
2021-08-08,FFF,9.810,0,20,4
2021-08-09,FFF,9.300,0,21,58
2021-08-10,Daraland,0.783,,47,
2021-08-10,FFF,14.060,13,7,51
2021-08-11,Akina,2.048,,,
2021-08-16,FFF,4.955,2,13,46
2021-08-16,Akina,3.947,,,
2021-08-17,Daraland,0.650,,39,
2021-08-18,Akina,2.341,,,
2021-08-18,Akina,0.388,,,
2021-08-18,Akina,2.405,,,
2021-08-20,FFF,3.487,2,16,32
2021-08-23,FFF,1.309,1,18,34
2021-08-23,Meat,1.783,1,47,
2021-08-24,Daraland,0.667,,40,
2021-08-24,Akina,2.804,,,
2021-08-25,Akina,2.443,,,
2021-08-26,Pon,1.383,1,23,
2021-08-28,Uninal,1.633,1,38,
2021-08-30,FFF,2.156,2,9,21
2021-08-30,Snack,1.633,1,38,
2021-08-31,Daraland,0.600,,36,
2021-08-31,FFF,1.342,1,20,30
2021-08-31,FFF,2.510,2,30,37
2021-08-31,Uninal,1.617,1,37,
2021-09-02,Akina,3.356,,,
2021-09-06,FFF,3.244,3,14,37
2021-09-07,Daraland,0.567,,34,
2021-09-08,Akina,2.204,,,
2021-09-08,Akina,1.536,,,
2021-09-09,Akina,2.760,,,
2021-09-10,Akina,1.721,,,
2021-09-13,FFF,2.842,2,50,32
2021-09-13,Meat,1.783,1,47,
2021-09-13,Snack,1.517,1,31,
2021-09-14,Daraland,0.733,,44,
2021-09-14,Akina,1.884,,,
2021-09-14,Akina,0.936,,,
2021-09-16,Akina,1.858,,,
